#   m*(Mo)      B       V       R      (B-V)   (B-R)   (V-R)
 1.791946770   1.181   0.648   0.303   0.533   0.878   0.345
 1.792256360   1.313   0.739   0.375   0.574   0.938   0.364
 1.792333720   1.343   0.757   0.389   0.586   0.954   0.368
 1.792624830   1.335   0.719   0.338   0.616   0.997   0.381
 1.792915460   1.284   0.646   0.256   0.638   1.028   0.390
 1.793277980   1.194   0.539   0.142   0.655   1.052   0.397
 1.793639780   1.102   0.433   0.030   0.669   1.072   0.403
 1.794000740   1.008   0.328  -0.080   0.680   1.088   0.408
 1.794361000   0.916   0.224  -0.189   0.692   1.105   0.413
 1.794576760   0.860   0.162  -0.253   0.698   1.113   0.415
 1.794724580   0.824   0.121  -0.297   0.703   1.121   0.418
 1.795020100   0.751   0.038  -0.383   0.713   1.134   0.421
 1.795090320   0.733   0.018  -0.404   0.715   1.137   0.422
 1.795440320   0.647  -0.079  -0.505   0.726   1.152   0.426
 1.795789480   0.562  -0.175  -0.607   0.737   1.169   0.432
 1.796109800   0.485  -0.263  -0.698   0.748   1.183   0.435
 1.796443340   0.406  -0.353  -0.793   0.759   1.199   0.440
 1.796822790   0.317  -0.456  -0.901   0.773   1.218   0.445
 1.797189000   0.232  -0.554  -1.003   0.786   1.235   0.449
 1.797562600   0.149  -0.650  -1.104   0.799   1.253   0.454
 1.797940970   0.064  -0.749  -1.209   0.813   1.273   0.460
 1.798288460  -0.012  -0.838  -1.304   0.826   1.292   0.466
 1.798650380  -0.088  -0.928  -1.399   0.840   1.311   0.471
 1.799039960  -0.161  -1.016  -1.492   0.855   1.331   0.476
 1.799089190  -0.094  -0.934  -1.405   0.840   1.311   0.471
 1.799095030  -0.067  -0.902  -1.371   0.835   1.304   0.469
 1.799100040  -0.033  -0.862  -1.328   0.829   1.295   0.466
 1.799107310   0.019  -0.800  -1.263   0.819   1.282   0.463
 1.799117210   0.082  -0.726  -1.184   0.808   1.266   0.458
 1.799131750   0.156  -0.640  -1.093   0.796   1.249   0.453
 1.799154880   0.237  -0.546  -0.994   0.783   1.231   0.448
 1.799191830   0.320  -0.449  -0.892   0.769   1.212   0.443
 1.799251080   0.404  -0.352  -0.790   0.756   1.194   0.438
 1.799342270   0.489  -0.254  -0.687   0.743   1.176   0.433
 1.799493430   0.569  -0.162  -0.590   0.731   1.159   0.428
 1.799999950   0.603  -0.122  -0.549   0.725   1.152   0.427
 1.800619130   0.646  -0.074  -0.498   0.720   1.144   0.424
 1.801275250   0.741   0.035  -0.383   0.706   1.124   0.418
 1.802103160   0.819   0.125  -0.289   0.694   1.108   0.414
 1.803283930   0.917   0.237  -0.171   0.680   1.088   0.408
 1.804437400   0.997   0.329  -0.074   0.668   1.071   0.403
 1.805952790   1.071   0.418   0.021   0.653   1.050   0.397
 1.809259890   1.119   0.494   0.110   0.625   1.009   0.384
 1.813143610   0.992   0.405   0.036   0.587   0.956   0.369
 1.821632500   0.830   0.263  -0.097   0.567   0.927   0.360
 1.832663660   0.677   0.120  -0.237   0.557   0.914   0.357
 1.843017460   0.536  -0.014  -0.367   0.550   0.903   0.353
 1.850000020   0.442  -0.104  -0.454   0.546   0.896   0.350
 1.852713110   0.406  -0.138  -0.488   0.544   0.894   0.350
 1.863992570   0.256  -0.281  -0.627   0.537   0.883   0.346
 1.875664230   0.107  -0.424  -0.767   0.531   0.874   0.343
 1.885711550  -0.008  -0.538  -0.882   0.530   0.874   0.344
 1.887557630  -0.025  -0.557  -0.901   0.532   0.876   0.344
 1.898559930  -0.096  -0.652  -1.007   0.556   0.911   0.355
 1.899999980  -0.104  -0.663  -1.020   0.559   0.916   0.357
 1.901310210  -0.110  -0.674  -1.033   0.564   0.923   0.359
 1.906193260  -0.128  -0.707  -1.073   0.579   0.945   0.366
 1.909526820  -0.026  -0.662  -1.052   0.636   1.026   0.390
 1.910598280   0.051  -0.639  -1.051   0.690   1.102   0.412
 1.910840630   0.030  -0.693  -1.118   0.723   1.148   0.425
 1.910863040   0.017  -0.712  -1.140   0.729   1.157   0.428
 1.910893320  -0.022  -0.764  -1.197   0.742   1.175   0.433
 1.910929560  -0.098  -0.860  -1.300   0.762   1.202   0.440
 1.911011460  -0.160  -0.933  -1.378   0.773   1.218   0.445
 1.911642550  -0.097  -0.856  -1.295   0.759   1.198   0.439
 1.912177090  -0.161  -0.937  -1.383   0.776   1.222   0.446
 1.912469390  -0.228  -1.020  -1.472   0.792   1.244   0.452
 1.912781600  -0.295  -1.102  -1.560   0.807   1.265   0.458
 1.913103700  -0.365  -1.189  -1.654   0.824   1.289   0.465
 1.913396480  -0.438  -1.279  -1.751   0.841   1.313   0.472
 1.913668160  -0.514  -1.375  -1.853   0.861   1.339   0.478
 1.913905020  -0.587  -1.467  -1.954   0.880   1.367   0.487
 1.914117100  -0.661  -1.559  -2.053   0.898   1.392   0.494
 1.914308550  -0.733  -1.652  -2.153   0.919   1.420   0.501
