 0.890383960   0.931   0.045  -0.444   0.886   1.375   0.489
 0.890461920   0.970   0.094  -0.392   0.876   1.362   0.486
 0.890489220   0.992   0.121  -0.363   0.871   1.355   0.484
 0.890544000   0.933   0.052  -0.435   0.881   1.368   0.487
 0.890617670   0.852  -0.042  -0.535   0.894   1.387   0.493
 0.890687290   0.774  -0.136  -0.635   0.910   1.409   0.499
 0.890752490   0.695  -0.230  -0.735   0.925   1.430   0.505
 0.890811680   0.620  -0.322  -0.832   0.942   1.452   0.510
 0.890867530   0.543  -0.415  -0.932   0.958   1.475   0.517
 0.890917360   0.471  -0.503  -1.027   0.974   1.498   0.524
 0.890963670   0.400  -0.589  -1.119   0.989   1.519   0.530
 0.891005400   0.334  -0.671  -1.208   1.005   1.542   0.537
 0.891045930   0.264  -0.757  -1.301   1.021   1.565   0.544
 0.891090150   0.185  -0.857  -1.409   1.042   1.594   0.552
 0.891131100   0.105  -0.958  -1.518   1.063   1.623   0.560
 0.891169070   0.028  -1.057  -1.628   1.085   1.656   0.571
 0.891202210  -0.042  -1.151  -1.731   1.109   1.689   0.580
 0.891233860  -0.115  -1.247  -1.837   1.132   1.722   0.590
 0.891262890  -0.182  -1.338  -1.939   1.156   1.757   0.601
 0.891288880  -0.245  -1.424  -2.036   1.179   1.791   0.612
 0.891313140  -0.309  -1.511  -2.133   1.202   1.824   0.622
 0.891335840  -0.369  -1.597  -2.230   1.228   1.861   0.633
 0.891355690  -0.426  -1.677  -2.322   1.251   1.896   0.645
 0.891374710  -0.483  -1.759  -2.415   1.276   1.932   0.656
 0.891392590  -0.535  -1.840  -2.509   1.305   1.974   0.669
 0.891408320  -0.581  -1.914  -2.596   1.333   2.015   0.682
 0.891423460  -0.627  -1.987  -2.683   1.360   2.056   0.696
 0.891437650  -0.668  -2.057  -2.769   1.389   2.101   0.712
 0.891450520  -0.706  -2.124  -2.850   1.418   2.144   0.726
 0.891462860  -0.746  -2.194  -2.934   1.448   2.188   0.740
 0.891474600  -0.786  -2.263  -3.019   1.477   2.233   0.756
 0.891485270  -0.823  -2.330  -3.100   1.507   2.277   0.770
 0.891495700  -0.857  -2.396  -3.182   1.539   2.325   0.786
 0.891505300  -0.884  -2.453  -3.257   1.569   2.373   0.804
 0.891513230  -0.902  -2.493  -3.312   1.591   2.410   0.819
 0.891513230   1.134   0.501   0.113   0.633   1.021   0.388
 0.891586240   1.105   0.466   0.074   0.639   1.031   0.392
