Filename,Mean Distance,# Zones,Age (Myr),z
bvr_0.008_5000Myr.dat,0.0422785,149,5000,0.008
bvr_0.008_4750Myr.dat,0.0541804,142,4750,0.008
bvr_0.008_4500Myr.dat,0.0734994,113,4500,0.008
bvr_0.016_5500Myr.dat,0.067909,100,5500,0.016
bvr_0.016_6000Myr.dat,0.0895251,95,6000,0.016
bvr_0.008_4250Myr.dat,0.0879089,95,4250,0.008
bvr_0.016_6500Myr.dat,0.102104,92,6500,0.016
bvr_0.020_5500Myr.dat,0.073264,91,5500,0.02
bvr_0.016_5000Myr.dat,0.0845757,87,5000,0.016
bvr_0.020_6000Myr.dat,0.0708995,81,6000,0.02
bvr_0.020_6500Myr.dat,0.0956397,74,6500,0.02
bvr_0.008_4000Myr.dat,0.1109456,72,4000,0.008
bvr_0.001_3750Myr.dat,0.0774365,71,3750,0.001
bvr_0.001_3500Myr.dat,0.0888368,68,3500,0.001
bvr_0.020_5000Myr.dat,0.0910315,66,5000,0.02
bvr_0.008_3500Myr.dat,0.0865605,66,3500,0.008
bvr_0.008_5500Myr.dat,0.0990205,64,5500,0.008
bvr_0.016_3750Myr.dat,0.1138529,63,3750,0.016
bvr_0.008_3750Myr.dat,0.0894458,63,3750,0.008
bvr_0.016_7000Myr.dat,0.0965315,62,7000,0.016
bvr_0.008_6000Myr.dat,0.0855358,61,6000,0.008
bvr_0.008_3250Myr.dat,0.0918623,58,3250,0.008
bvr_0.020_4750Myr.dat,0.0970545,56,4750,0.02
bvr_0.016_4000Myr.dat,0.1328665,55,4000,0.016
bvr_0.020_4000Myr.dat,0.1026554,55,4000,0.02
bvr_0.001_3250Myr.dat,0.1227378,54,3250,0.001
bvr_0.001_2750Myr.dat,0.0884747,54,2750,0.001
bvr_0.016_4250Myr.dat,0.0965559,52,4250,0.016
bvr_0.008_7000Myr.dat,0.0987924,52,7000,0.008
bvr_0.008_7500Myr.dat,0.083086,51,7500,0.008
bvr_0.020_7000Myr.dat,0.0988944,49,7000,0.02
bvr_0.016_4750Myr.dat,0.0886242,49,4750,0.016
bvr_0.008_9500Myr.dat,0.0873473,47,9500,0.008
bvr_0.020_2000Myr.dat,0.1120452,47,2000,0.02
bvr_0.016_4500Myr.dat,0.0935134,46,4500,0.016
bvr_0.020_2250Myr.dat,0.1208467,45,2250,0.02
bvr_0.001_9500Myr.dat,0.0918448,43,9500,0.001
bvr_0.008_8000Myr.dat,0.1082789,43,8000,0.008
bvr_0.020_4250Myr.dat,0.1019296,41,4250,0.02
bvr_0.020_4500Myr.dat,0.1005503,39,4500,0.02
bvr_0.001_9000Myr.dat,0.0966912,39,9000,0.001
bvr_0.001_7000Myr.dat,0.115414,39,7000,0.001
bvr_0.008_6500Myr.dat,0.1191846,39,6500,0.008
bvr_0.001_4750Myr.dat,0.0995063,38,4750,0.001
bvr_0.001_5000Myr.dat,0.0949005,38,5000,0.001
bvr_0.008_8500Myr.dat,0.0987615,38,8500,0.008
bvr_0.001_3000Myr.dat,0.1298231,37,3000,0.001
bvr_0.001_4500Myr.dat,0.1010983,36,4500,0.001
bvr_0.001_6500Myr.dat,0.1509558,36,6500,0.001
bvr_0.020_8000Myr.dat,0.0763,35,8000,0.02
bvr_0.001_4250Myr.dat,0.1125485,35,4250,0.001
bvr_0.020_7500Myr.dat,0.083608,35,7500,0.02
bvr_0.001_5500Myr.dat,0.1091084,34,5500,0.001
bvr_0.016_7500Myr.dat,0.0955148,34,7500,0.016
bvr_0.008_9000Myr.dat,0.0968834,34,9000,0.008
bvr_0.020_8500Myr.dat,0.0810514,34,8500,0.02
bvr_0.016_8500Myr.dat,0.0817455,33,8500,0.016
bvr_0.020_3750Myr.dat,0.1178128,33,3750,0.02
bvr_0.008_9999Myr.dat,0.1114079,33,9999,0.008
bvr_0.016_8000Myr.dat,0.0829962,32,8000,0.016
bvr_0.001_4000Myr.dat,0.1114703,32,4000,0.001
bvr_0.001_6000Myr.dat,0.1402368,32,6000,0.001
bvr_0.016_9000Myr.dat,0.0720604,31,9000,0.016
bvr_0.001_1500Myr.dat,0.0938879,29,1500,0.001
bvr_0.001_7500Myr.dat,0.1577574,26,7500,0.001
bvr_0.016_1250Myr.dat,0.2168277,25,1250,0.016
bvr_0.016_1500Myr.dat,0.2327425,24,1500,0.016
bvr_0.001_2500Myr.dat,0.1244516,24,2500,0.001
bvr_0.016_1000Myr.dat,0.1802405,24,1000,0.016
bvr_0.016_9500Myr.dat,0.080885,23,9500,0.016
bvr_0.020_9000Myr.dat,0.0754652,23,9000,0.02
bvr_0.020_9999Myr.dat,0.0758086,23,9999,0.02
bvr_0.001_1750Myr.dat,0.102133,23,1750,0.001
bvr_0.001_2000Myr.dat,0.1025388,23,2000,0.001
