Filename,Mean Distance,Mean Distance STD,# Zones
bvr_0.020_3500Myr.dat,0.3108963,0.141913,2
bvr_0.020_3000Myr.dat,0.1527171,0.0727952,2
bvr_0.016_2750Myr.dat,0.2151933,0.1411106,2
bvr_0.020_3250Myr.dat,0.1817501,0.0519306,3
bvr_0.016_2250Myr.dat,0.2281294,0.081343,3
bvr_0.016_2500Myr.dat,0.2056753,0.0883518,3
bvr_0.020_2750Myr.dat,0.1947075,0.0243072,4
bvr_0.020_2500Myr.dat,0.1966593,0.0070635,4
bvr_0.016_3000Myr.dat,0.2168545,0.0513084,5
bvr_0.016_3250Myr.dat,0.1863383,0.0675984,5
bvr_0.020_1750Myr.dat,0.2292353,0.0336822,6
bvr_0.020_1500Myr.dat,0.2037844,0.0663931,12
bvr_0.001_1250Myr.dat,0.1400355,0.0563817,14
bvr_0.016_2000Myr.dat,0.2883844,0.0269922,14
bvr_0.001_1000Myr.dat,0.2131311,0.0579297,15
bvr_0.008_2500Myr.dat,0.1835548,0.0795647,16
bvr_0.001_8500Myr.dat,0.1884035,0.0247491,16
bvr_0.020_1000Myr.dat,0.2058913,0.1074911,17
bvr_0.020_9500Myr.dat,0.0763895,0.0208532,17
bvr_0.016_3500Myr.dat,0.2714944,0.0360937,18
bvr_0.020_1250Myr.dat,0.2542834,0.0890614,18
bvr_0.008_2250Myr.dat,0.1921496,0.0825525,19
bvr_0.008_1750Myr.dat,0.1876156,0.0938344,19
bvr_0.008_3000Myr.dat,0.1824391,0.0801367,19
bvr_0.008_2750Myr.dat,0.1994161,0.0832731,19
bvr_0.016_9999Myr.dat,0.0755103,0.0213444,19
bvr_0.001_8000Myr.dat,0.1823442,0.0216282,20
bvr_0.008_1250Myr.dat,0.2436049,0.0745442,20
bvr_0.008_1500Myr.dat,0.1861266,0.0828395,20
bvr_0.008_2000Myr.dat,0.1906922,0.0822251,20
bvr_0.016_1750Myr.dat,0.2374014,0.0553973,20
bvr_0.008_1000Myr.dat,0.2419737,0.0753944,21
bvr_0.001_2250Myr.dat,0.1132092,0.0459174,22
bvr_0.020_9000Myr.dat,0.0754652,0.0172734,23
bvr_0.016_9500Myr.dat,0.080885,0.0182606,23
bvr_0.020_9999Myr.dat,0.0758086,0.0116845,23
bvr_0.001_1750Myr.dat,0.102133,0.0439955,23
bvr_0.001_9999Myr.dat,0.126457,0.0175722,23
bvr_0.001_2000Myr.dat,0.1025388,0.0454499,23
